"전체근로자(특수형태포함)","사무 종사자(3)",-,-,-,-,-,-,-,3344,2908,2811,97,436,5232
"전체근로자(특수형태포함)","서비스 종사자(4)",-,-,-,-,-,-,-,1408,1364,1304,60,44,529
"전체근로자(특수형태포함)","판매 종사자(5)",-,-,-,-,-,-,-,2442,2287,2234,53,156,1867
"전체근로자(특수형태포함)","농림어업 숙련 종사자(6)",-,-,-,-,-,-,-,2001,1887,1784,103,114,1364
"전체근로자(특수형태포함)","기능원 및 관련 기능 종사자(7)",-,-,-,-,-,-,-,2565,2318,2131,188,246,2957
"전체근로자(특수형태포함)","장치,기계조작 및 조립종사자(8)",-,-,-,-,-,-,-,2877,2473,2068,406,403,4842
"전체근로자(특수형태포함)","단순노무 종사자(9)",-,-,-,-,-,-,-,1589,1523,1401,121,66,792
"정규근로자","전직종",22.1,184.7,173.9,10.8,3.5,18212,15648,3283,2850,2674,177,433,5197
"정규근로자","관리자(1)",21.4,175.4,169.7,5.7,1.9,48062,40373,8272,6974,6821,152,1299,15584
"정규근로자","전문가 및 관련 종사자(2)",21.6,176.8,170.7,6.2,1.7,21201,18316,3708,3204,3090,114,504,6044
"정규근로자","사무 종사자(3)",21.7,177.4,171.6,5.8,1.6,20143,17321,3522,3043,2940,103,479,5746
"정규근로자","서비스 종사자(4)",23.2,200.3,192.3,8.1,2.1,10187,9591,1993,1896,1789,107,97,1166
"정규근로자","판매 종사자(5)",22.4,185.3,179.8,5.5,1.7,15615,14005,2816,2543,2461,82,273,3276
"정규근로자","농림어업 숙련 종사자(6)",23.1,192.6,181.8,10.8,4.9,13062,11915,2516,2299,2147,152,217,2600
"정규근로자","기능원 및 관련 기능 종사자(7)",22.6,190.5,174.9,15.6,5.9,15483,13302,2912,2535,2291,244,377,4528
"정규근로자","장치,기계조작 및 조립종사자(8)",22.6,198.4,171.8,26.7,9.2,15230,12307,2995,2526,2094,431,469,5629
"정규근로자","단순노무 종사자(9)",22.8,198.7,182.2,16.5,5.5,10288,9252,2020,1869,1654,215,151,1814
"비정규근로자","전직종",17.6,129.3,123.8,5.5,1.7,12076,11739,1445,1411,1338,73,35,418
"비정규근로자","관리자(1)",21.2,171.9,169.4,2.5,0.4,50603,42872,8511,7231,7173,58,1280,15359
"비정규근로자","전문가 및 관련 종사자(2)",17.5,115.3,112.6,2.7,0.7,18833,18189,1822,1717,1675,41,105,1265
"비정규근로자","사무 종사자(3)",20.2,149.9,146.6,3.3,0.8,11867,11385,1793,1720,1676,44,73,875
"비정규근로자","서비스 종사자(4)",17.6,106.5,104.0,2.5,1.0,8410,8330,873,868,841,28,5,62
"비정규근로자","판매 종사자(5)",17.3,116.3,112.7,3.6,1.1,8160,7981,985,963,922,41,22,267
"비정규근로자","농림어업 숙련 종사자(6)",16.5,132.8,127.8,5.0,2.4,13030,12902,1505,1490,1435,55,14,172
"비정규근로자","기능원 및 관련 기능 종사자(7)",14.2,116.4,112.3,4.1,1.5,17682,17179,1920,1909,1819,90,11,131
"비정규근로자","장치,기계조작 및 조립종사자(8)",20.7,181.2,156.6,24.5,7.5,10966,10305,1909,1859,1551,308,49,592
"비정규근로자","단순노무 종사자(9)",17.3,138.4,133.0,5.4,1.5,10160,10004,1282,1272,1208,64,11,131
"비정규직근로자(특수형태포함)","전직종",-,-,-,-,-,-,-,1643,1613,1553,60,30,359
"비정규직근로자(특수형태포함)","관리자(1)",-,-,-,-,-,-,-,8511,7231,7173,58,1280,15359
"비정규직근로자(특수형태포함)","전문가 및 관련 종사자(2)",-,-,-,-,-,-,-,1871,1792,1761,31,79,950
"비정규직근로자(특수형태포함)","사무 종사자(3)",-,-,-,-,-,-,-,1814,1744,1702,42,70,840
"비정규직근로자(특수형태포함)","서비스 종사자(4)",-,-,-,-,-,-,-,975,971,945,26,5,58
"비정규직근로자(특수형태포함)","판매 종사자(5)",-,-,-,-,-,-,-,1997,1981,1962,19,15,186
"비정규직근로자(특수형태포함)","농림어업 숙련 종사자(6)",-,-,-,-,-,-,-,1504,1490,1435,55,14,172
"비정규직근로자(특수형태포함)","기능원 및 관련 기능 종사자(7)",-,-,-,-,-,-,-,1938,1928,1841,87,11,127
"비정규직근로자(특수형태포함)","장치,기계조작 및 조립종사자(8)",-,-,-,-,-,-,-,2229,2186,1922,265,43,512
"비정규직근로자(특수형태포함)","단순노무 종사자(9)",-,-,-,-,-,-,-,1307,1297,1236,61,10,124
